,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
600,Xiaomi 14 CIVI,Xiaomi,12,512 ,4700,6.55,50MP Rear Camera,32MP + 32MP Dual,4.4,Very Good,696,65,761,35,38999,30K+
601,realme Gt 7T,realme,12,512 ,7000,6.8,50MP + 50MP + 8MP,32MP + 32MP Dual,4.3,Very Good,21,0,21,17,38999,30K+
602,vivo T4 Ultra 5G,vivo,12,256 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,39999,30K+
603,Samsung Galaxy S24 FE 5G,Samsung,8,128 ,4700,6.7,50MP + 12MP,10MP,4.5,Very Good,9888,842,10730,33,39999,30K+
604,Samsung Galaxy S24 FE 5G,Samsung,8,128 ,4700,6.7,50MP + 12MP,10MP,4.5,Very Good,9888,842,10730,33,39999,30K+
605,Samsung Galaxy S24 FE 5G,Samsung,8,128 ,4700,6.7,50MP + 12MP,10MP,4.5,Very Good,9888,842,10730,33,39999,30K+
606,Xiaomi 14 CIVI,Xiaomi,12,512 ,4700,6.55,50MP Rear Camera,32MP + 32MP Dual,4.4,Very Good,696,65,761,33,39999,30K+
607,vivo T4 Ultra 5G,vivo,12,256 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,39999,30K+
608,vivo T4 Ultra 5G,vivo,12,256 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,39999,30K+
609,vivo T4 Ultra 5G,vivo,12,256 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,39999,30K+
610,vivo V50 5G,vivo,12,512 ,6000,6.77,50MP + 50MP,50MP,4.5,Very Good,1538,151,1689,16,40999,30K+
611,vivo V50 5G,vivo,12,512 ,6000,6.77,50MP + 50MP,50MP,4.5,Very Good,1538,151,1689,16,40999,30K+
612,vivo V50 5G,vivo,12,512 ,6000,6.77,50MP + 50MP,50MP,4.5,Very Good,1538,151,1689,16,40999,30K+
613,vivo T4 Ultra 5G,vivo,12,512 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,41999,30K+
614,vivo T4 Ultra 5G,vivo,12,512 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,41999,30K+
615,vivo T4 Ultra 5G,vivo,12,512 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,41999,30K+
616,vivo T4 Ultra 5G,vivo,12,512 ,5500,6.67,50MP + 8MP + 50MP Periscope,32MP,4.6,Excellent,431,52,483,6,41999,30K+
617,Google Pixel 8a,Google,8,256 ,4404,6.1,64MP + 13MP,13MP,4.3,Very Good,6334,543,6877,25,44999,30K+
