,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
83,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
84,Samsung Galaxy F06 5G,Samsung,6,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,6107,468,6575,29,10999,10K-15K
85,realme C63 5G Charger in the Box,realme,4,128 ,5000,6.67,32MP Rear Camera,8MP,4.4,Very Good,6540,263,6803,15,10999,10K-15K
86,realme C63 5G Charger in the Box,realme,4,128 ,5000,6.67,32MP Rear Camera,8MP,4.4,Very Good,6540,263,6803,15,10999,10K-15K
87,realme C63 5G Charger in the Box,realme,6,128 ,5000,6.67,32MP Rear Camera,8MP,4.5,Very Good,21997,664,22661,21,10999,10K-15K
88,realme C63 5G Charger in the Box,realme,6,128 ,5000,6.67,32MP Rear Camera,8MP,4.5,Very Good,21997,664,22661,21,10999,10K-15K
89,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
90,POCO M6 Pro 5G,POCO,4,64 ,5000,6.79,50MP + 2MP,8MP,4.3,Very Good,86414,5552,91966,26,10999,10K-15K
91,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
92,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
93,realme C63 5G Charger in the Box,realme,6,128 ,5000,6.67,32MP Rear Camera,8MP,4.5,Very Good,21997,664,22661,21,10999,10K-15K
